website,logo_url,fav_url
exacttarget.com,https://www.salesforce.com/products/marketing-cloud/email-marketing/?d=www.exacttarget.com/&internal=true&bc=HL//www.salesforce.com/content/dam/sfdc-docs/www/logos/logo-salesforce.svg,https://www.salesforce.com/etc/designs/sfdc-www/en_us/favicon.ico
motorola.com,https://www.motorola.com.ar/arquivos/c-rd-moto-logo-menu.png?v=637382902197100000,https://www.motorola.com.ar/arquivos/favicon.ico?v=637457249446870000
reachlocal.com,https://www.reachlocal.com/sites/default/files/logo-white.png,https://www.reachlocal.com/sites/all/themes/reachlocal_pluto/favicon.ico
peoplefinders.com,https://www.peoplefinders.com//assets/img/people-finders-logo-sm.svg,https://www.peoplefinders.com//assets/img/icons/favicon.ico
qualcomm.com,http://tse4.mm.bing.net/th?id=OIP.7WFmSJ5IfScCYojp6iDWvgHaC1&pid=15.1,https://www.qualcomm.com//react/images/favicon.ico
hostgator.com,http://tse4.mm.bing.net/th?id=OIP.K6qL_YBZh4zJ_EoxB5CSEwHaDW&pid=15.1,https://www.hostgator.com//static/cs/img/apple-touch-icon.png
rackspace.com,https://www.rackspace.com//themes/custom/hansel/images/rs-logo-2020TM.svg,https://www.rackspace.com/sites/default/files/2020-12/apple-touch-icon.png
cox.com,https://webcdn3.cox.com/content/dam/cox/residential/flex/images/icons/brand/brand-settings-logo-in-blue-green-gradient.svg,https://www.cox.com/residential/home.html//webcdn2.cox.com/ui/presentation/tsw/faviconrebrand.ico
box.com,http://tse3.mm.bing.net/th?id=OIP.V2L74oC2xzTbFphWsPUGWwHaD-&pid=15.1,https://www.box.com//themes/custom/box/favicons/apple-touch-icon.png?qq2lyj
spiceworks.com,http://tse2.mm.bing.net/th?id=OIP.7IQkcJCsus1zj9IRyb3YZAAAAA&pid=15.1,http://www.spiceworks.com/favicon.ico
metropcs.com,https://www.metrobyt-mobile.com///cdn.tmobile.com/content/dam/t-mobile/ntm/branding/logos/metro/metro-d-light.svg,https://www.metrobyt-mobile.com/favicon.ico
verticalresponse.com,https://www.verticalresponse.com//sites/www.verticalresponse.com/files/vr2-logomark.png,https://www.verticalresponse.com//sites/all/themes/bootstrap/favicon.ico
alot.com,http://tse1.mm.bing.net/th?id=OIP.fUqyk9kK2w2pxO4sYIaW4wHaDZ&pid=15.1,https://www.alot.com//assets/img/Alot/favicon.ico
zagg.com,http://tse2.mm.bing.net/th?id=OIP.8BsK387vR99nruLiW5r9nAHaB_&pid=15.1,https://www.zagg.com/media/favicon/default/zagg_favicon_200px_707070_01_7Su_icon.ico
webex.com,https://www.webex.com//content/dam/wbx/us/images/hp/webexone/cnn-logo-white.png,https://www.webex.com//etc/designs/wbx/eopi/images/favicon.ico
